SAMPLE_NUMBER,SAMPLE_ID,LATITUDE,LONGITUDE,BOX_NUMBER,COLLECTION_DATE,COLLECTION_TIME,SAMPLE_BAG,BEFORE_PHOTO_NUMBER,AFTER_PHOTO_NUMBER,SHOT_MEASUREMENT_X,SHOT_MEASUREMENT_Y,PENETROMETER_READING,RELIABILITY_,NOTES,IMAGES,,,,,,,
192,XXXXXXXX05_18-E,32.289418,-108.886503,XXXXXXXX05,,,18-E,,,,,,,,,,,,,,,
193,XXXXXXXX05_18-N,32.289463,-108.886557,XXXXXXXX05,,,18-N,,,,,,,,,,,,,,,
194,XXXXXXXX05_18-S,32.289373,-108.886557,XXXXXXXX05,,,18-S,,,,,,,,,,,,,,,
195,XXXXXXXX05_18-W,32.289418,-108.886610,XXXXXXXX05,,,18-W,,,,,,,,,,,,,,,
196,XXXXXXXX05_19,32.290112,-108.886419,XXXXXXXX05,,,19,,,,,,,,,,,,,,,
197,XXXXXXXX05_19-E,32.278049,-108.888645,XXXXXXXX05,,,19-E,,,,,,,,,,,,,,,
198,XXXXXXXX05_19-N,32.278094,-108.888698,XXXXXXXX05,,,19-N,,,,,,,,,,,,,,,
199,XXXXXXXX05_19-S,32.278004,-108.888698,XXXXXXXX05,,,19-S,,,,,,,,,,,,,,,
200,XXXXXXXX05_19-W,32.278049,-108.888751,XXXXXXXX05,,,19-W,,,,,,,,,,,,,,,
201,XXXXXXXX05_20,32.290789,-108.886309,XXXXXXXX05,,,20,,,,,,,,,,,,,,,
202,XXXXXXXX05_20-E,32.290789,-108.886256,XXXXXXXX05,,,20-E,,,,,,,,,,,,,,,
203,XXXXXXXX05_20-N,32.290834,-108.886309,XXXXXXXX05,,,20-N,,,,,,,,,,,,,,,
204,XXXXXXXX05_20-S,32.290744,-108.886309,XXXXXXXX05,,,20-S,,,,,,,,,,,,,,,
205,XXXXXXXX05_20-W,32.290789,-108.886362,XXXXXXXX05,,,20-W,,,,,,,,,,,,,,,
206,XXXXXXXX05_21,32.291486,-108.886186,XXXXXXXX05,,,21,,,,,,,,,,,,,,,
207,XXXXXXXX05_21-E,32.291486,-108.886133,XXXXXXXX05,,,21-E,,,,,,,,,,,,,,,
208,XXXXXXXX05_21-N,32.291530,-108.886186,XXXXXXXX05,,,21-N,,,,,,,,,,,,,,,
209,XXXXXXXX05_21-S,32.291441,-108.886186,XXXXXXXX05,,,21-S,,,,,,,,,,,,,,,
210,XXXXXXXX05_21-W,32.291486,-108.886239,XXXXXXXX05,,,21-W,,,,,,,,,,,,,,,
211,XXXXXXXX05_22,32.292154,-108.886074,XXXXXXXX05,,,22,,,,,,,,,,,,,,,
212,XXXXXXXX05_22-E,32.292154,-108.886021,XXXXXXXX05,,,22-E,,,,,,,,,,,,,,,
213,XXXXXXXX05_22-N,32.292199,-108.886074,XXXXXXXX05,,,22-N,,,,,,,,,,,,,,,
214,XXXXXXXX05_22-S,32.292109,-108.886074,XXXXXXXX05,,,22-S,,,,,,,,,,,,,,,
215,XXXXXXXX05_22-W,32.292154,-108.886127,XXXXXXXX05,,,22-W,,,,,,,,,,,,,,,
216,XXXXXXXX06_23,32.292834,-108.886077,XXXXXXXX06,,,23,,,,,,,,,,,,,,,
217,XXXXXXXX06_23-E,32.292834,-108.886024,XXXXXXXX06,,,23-E,,,,,,,,,,,,,,,
218,XXXXXXXX06_23-N,32.292879,-108.886077,XXXXXXXX06,,,23-N,,,,,,,,,,,,,,,
219,XXXXXXXX06_23-S,32.292789,-108.886077,XXXXXXXX06,,,23-S,,,,,,,,,,,,,,,
220,XXXXXXXX06_23-W,32.292834,-108.886130,XXXXXXXX06,,,23-W,,,,,,,,,,,,,,,
221,XXXXXXXX06_24,32.293518,-108.885987,XXXXXXXX06,,,24,,,,,,,,,,,,,,,
222,XXXXXXXX06_24-E,32.293518,-108.885933,XXXXXXXX06,,,24-E,,,,,,,,,,,,,,,
223,XXXXXXXX06_24-N,32.293563,-108.885987,XXXXXXXX06,,,24-N,,,,,,,,,,,,,,,
224,XXXXXXXX06_24-S,32.293473,-108.885987,XXXXXXXX06,,,24-S,,,,,,,,,,,,,,,
225,XXXXXXXX06_24-W,32.293518,-108.886040,XXXXXXXX06,,,24-W,,,,,,,,,,,,,,,
226,XXXXXXXX06_25,32.294167,-108.885850,XXXXXXXX06,,,25,,,,,,,,,,,,,,,
227,XXXXXXXX06_25-E,32.294167,-108.885797,XXXXXXXX06,,,25-E,,,,,,,,,,,,,,,
228,XXXXXXXX06_25-N,32.294212,-108.885850,XXXXXXXX06,,,25-N,,,,,,,,,,,,,,,
229,XXXXXXXX06_25-S,32.294122,-108.885850,XXXXXXXX06,,,25-S,,,,,,,,,,,,,,,
230,XXXXXXXX06_25-W,32.294167,-108.885903,XXXXXXXX06,,,25-W,,,,,,,,,,,,,,,
231,XXXXXXXX06_26,32.294832,-108.885711,XXXXXXXX06,,,26,,,,,,,,,,,,,,,
232,XXXXXXXX06_26-E,32.294832,-108.885658,XXXXXXXX06,,,25-W-E,,,,,,,,,,,,,,,
233,XXXXXXXX06_26-N,32.294877,-108.885711,XXXXXXXX06,,,25-W-E-N,,,,,,,,,,,,,,,
234,XXXXXXXX06_26-S,32.294787,-108.885711,XXXXXXXX06,,,26-S,,,,,,,,,,,,,,,
235,XXXXXXXX06_26-W,32.294832,-108.885764,XXXXXXXX06,,,26-W,,,,,,,,,,,,,,,
236,XXXXXXXX06_27,32.295490,-108.885541,XXXXXXXX06,,,27,,,,,,,,,,,,,,,
237,XXXXXXXX06_27-E,32.295490,-108.885488,XXXXXXXX06,,,26-W-E,,,,,,,,,,,,,,,
238,XXXXXXXX06_27-N,32.295535,-108.885541,XXXXXXXX06,,,26-W-E-N,,,,,,,,,,,,,,,
239,XXXXXXXX06_27-S,32.295445,-108.885541,XXXXXXXX06,,,27-S,,,,,,,,,,,,,,,
240,XXXXXXXX06_27-W,32.295490,-108.885594,XXXXXXXX06,,,27-W,,,,,,,,,,,,,,,
241,XXXXXXXX06_28,32.296173,-108.885450,XXXXXXXX06,,,28,,,,,,,,,,,,,,,
242,XXXXXXXX06_28-E,32.296173,-108.885397,XXXXXXXX06,,,27-W-E,,,,,,,,,,,,,,,
243,XXXXXXXX06_28-N,32.296218,-108.885450,XXXXXXXX06,,,27-W-E-N,,,,,,,,,,,,,,,
244,XXXXXXXX06_28-S,32.296128,-108.885450,XXXXXXXX06,,,28-S,,,,,,,,,,,,,,,
245,XXXXXXXX06_28-W,32.296173,-108.885503,XXXXXXXX06,,,28-W,,,,,,,,,,,,,,,
246,XXXXXXXX07_29,32.296836,-108.885332,XXXXXXXX07,,,29,,,,,,,,,,,,,,,
247,XXXXXXXX07_29-E,32.296836,-108.885279,XXXXXXXX07,,,28-W-E,,,,,,,,,,,,,,,
248,XXXXXXXX07_29-N,32.296881,-108.885332,XXXXXXXX07,,,28-W-E-N,,,,,,,,,,,,,,,
249,XXXXXXXX07_29-S,32.296791,-108.885332,XXXXXXXX07,,,29-S,,,,,,,,,,,,,,,
250,XXXXXXXX07_29-W,32.296836,-108.885385,XXXXXXXX07,,,29-W,,,,,,,,,,,,,,,
251,XXXXXXXX07_30,32.297495,-108.885182,XXXXXXXX07,,,30,,,,,,,,,,,,,,,
252,XXXXXXXX07_30-E,32.297495,-108.885129,XXXXXXXX07,,,29-W-E,,,,,,,,,,,,,,,
253,XXXXXXXX07_30-N,32.297539,-108.885182,XXXXXXXX07,,,29-W-E-N,,,,,,,,,,,,,,,
254,XXXXXXXX07_30-S,32.297450,-108.885182,XXXXXXXX07,,,30-S,,,,,,,,,,,,,,,
255,XXXXXXXX07_31,32.298165,-108.885012,XXXXXXXX07,,,31,,,,,,,,,,,,,,,
256,XXXXXXXX07_31-E,32.298165,-108.884958,XXXXXXXX07,,,30-S-E,,,,,,,,,,,,,,,
257,XXXXXXXX07_31-N,32.298210,-108.885012,XXXXXXXX07,,,30-S-E-N,,,,,,,,,,,,,,,
258,XXXXXXXX07_31-S,32.298120,-108.885012,XXXXXXXX07,,,31-S,,,,,,,,,,,,,,,
259,XXXXXXXX07_31-W,32.298165,-108.885065,XXXXXXXX07,,,31-W,,,,,,,,,,,,,,,
260,XXXXXXXX07_32,32.298841,-108.884939,XXXXXXXX07,,,32,,,,,,,,,,,,,,,
261,XXXXXXXX07_32-E,32.298841,-108.884886,XXXXXXXX07,,,31-W-E,,,,,,,,,,,,,,,
262,XXXXXXXX07_32-N,32.298886,-108.884939,XXXXXXXX07,,,31-W-E-N,,,,,,,,,,,,,,,
263,XXXXXXXX07_32-S,32.298796,-108.884939,XXXXXXXX07,,,32-S,,,,,,,,,,,,,,,
264,XXXXXXXX07_32-W,32.298841,-108.884992,XXXXXXXX07,,,32-W,,,,,,,,,,,,,,,
265,XXXXXXXX07_33,32.299515,-108.884806,XXXXXXXX07,,,33,,,,,,,,,,,,,,,
266,XXXXXXXX07_33-E,32.299515,-108.884753,XXXXXXXX07,,,32-W-E,,,,,,,,,,,,,,,
267,XXXXXXXX07_33-N,32.299560,-108.884806,XXXXXXXX07,,,32-W-E-N,,,,,,,,,,,,,,,
268,XXXXXXXX07_33-S,32.299470,-108.884806,XXXXXXXX07,,,33-S,,,,,,,,,,,,,,,
269,XXXXXXXX07_33-W,32.299515,-108.884859,XXXXXXXX07,,,33-W,,,,,,,,,,,,,,,
270,XXXXXXXX07_34,32.300178,-108.884671,XXXXXXXX07,,,34,,,,,,,,,,,,,,,
271,XXXXXXXX07_34-E,32.300178,-108.884618,XXXXXXXX07,,,33-W-E,,,,,,,,,,,,,,,
272,XXXXXXXX07_34-N,32.300223,-108.884671,XXXXXXXX07,,,33-W-E-N,,,,,,,,,,,,,,,
273,XXXXXXXX07_34-S,32.300133,-108.884671,XXXXXXXX07,,,34-S,,,,,,,,,,,,,,,
274,XXXXXXXX07_35,32.300868,-108.884511,XXXXXXXX07,,,35,,,,,,,,,,,,,,,
275,XXXXXXXX07_35-E,32.300868,-108.884458,XXXXXXXX07,,,34-S-E,,,,,,,,,,,,,,,
276,XXXXXXXX07_35-N,32.300913,-108.884511,XXXXXXXX07,,,34-S-E-N,,,,,,,,,,,,,,,
277,XXXXXXXX07_35-S,32.300823,-108.884511,XXXXXXXX07,,,35-S,,,,,,,,,,,,,,,
278,XXXXXXXX07_35-W,32.300868,-108.884564,XXXXXXXX07,,,35-W,,,,,,,,,,,,,,,
279,XXXXXXXX07_36,32.301503,-108.884448,XXXXXXXX07,,,36,,,,,,,,,,,,,,,
280,XXXXXXXX07_36-E,32.301503,-108.884394,XXXXXXXX07,,,35-W-E,,,,,,,,,,,,,,,
281,XXXXXXXX07_36-N,32.301548,-108.884448,XXXXXXXX07,,,35-W-E-N,,,,,,,,,,,,,,,
282,XXXXXXXX07_36-S,32.301458,-108.884448,XXXXXXXX07,,,36-S,,,,,,,,,,,,,,,
283,XXXXXXXX07_36-W,32.301503,-108.884501,XXXXXXXX07,,,36-W,,,,,,,,,,,,,,,
284,XXXXXXXX08_37,32.302245,-108.884222,XXXXXXXX08,,,37,,,,,,,,,,,,,,,
285,XXXXXXXX08_37-E,32.302245,-108.884169,XXXXXXXX08,,,36-W-E,,,,,,,,,,,,,,,
286,XXXXXXXX08_37-N,32.302289,-108.884222,XXXXXXXX08,,,36-W-E-N,,,,,,,,,,,,,,,
287,XXXXXXXX08_37-S,32.302200,-108.884222,XXXXXXXX08,,,37-S,,,,,,,,,,,,,,,
288,XXXXXXXX08_37-W,32.302245,-108.884275,XXXXXXXX08,,,37-W,,,,,,,,,,,,,,,
289,XXXXXXXX08_38,32.302864,-108.884244,XXXXXXXX08,,,38,,,,,,,,,,,,,,,
290,XXXXXXXX08_38-E,32.302864,-108.884191,XXXXXXXX08,,,37-W-E,,,,,,,,,,,,,,,
291,XXXXXXXX08_38-N,32.302909,-108.884244,XXXXXXXX08,,,37-W-E-N,,,,,,,,,,,,,,,
292,XXXXXXXX08_38-S,32.302819,-108.884244,XXXXXXXX08,,,38-S,,,,,,,,,,,,,,,
293,XXXXXXXX08_38-W,32.302864,-108.884297,XXXXXXXX08,,,38-W,,,,,,,,,,,,,,,
294,XXXXXXXX08_39,32.303557,-108.884162,XXXXXXXX08,,,39,,,,,,,,,,,,,,,
295,XXXXXXXX08_39-E,32.303557,-108.884109,XXXXXXXX08,,,38-W-E,,,,,,,,,,,,,,,
296,XXXXXXXX08_39-N,32.303602,-108.884162,XXXXXXXX08,,,38-W-E-N,,,,,,,,,,,,,,,
297,XXXXXXXX08_39-S,32.303512,-108.884162,XXXXXXXX08,,,39-S,,,,,,,,,,,,,,,
298,XXXXXXXX08_39-W,32.303557,-108.884215,XXXXXXXX08,,,39-W,,,,,,,,,,,,,,,
299,XXXXXXXX08_40,32.304229,-108.884190,XXXXXXXX08,,,40,,,,,,,,,,,,,,,
300,XXXXXXXX08_40-E,32.304229,-108.884137,XXXXXXXX08,,,39-W-E,,,,,,,,,,,,,,,
301,XXXXXXXX08_40-N,32.304274,-108.884190,XXXXXXXX08,,,39-W-E-N,,,,,,,,,,,,,,,
302,XXXXXXXX08_40-S,32.304184,-108.884190,XXXXXXXX08,,,40-S,,,,,,,,,,,,,,,
303,XXXXXXXX08_40-W,32.304229,-108.884243,XXXXXXXX08,,,40-W,,,,,,,,,,,,,,,
304,XXXXXXXX08_41,32.304882,-108.883949,XXXXXXXX08,,,41,,,,,,,,,,,,,,,
305,XXXXXXXX08_41-E,32.304882,-108.883896,XXXXXXXX08,,,40-W-E,,,,,,,,,,,,,,,
306,XXXXXXXX08_41-N,32.304927,-108.883949,XXXXXXXX08,,,40-W-E-N,,,,,,,,,,,,,,,
307,XXXXXXXX08_41-S,32.304837,-108.883949,XXXXXXXX08,,,41-S,,,,,,,,,,,,,,,
308,XXXXXXXX08_41-W,32.304882,-108.884002,XXXXXXXX08,,,41-W,,,,,,,,,,,,,,,
309,XXXXXXXX08_42,32.305557,-108.883897,XXXXXXXX08,,,42,,,,,,,,,,,,,,,
310,XXXXXXXX08_42-E,32.305557,-108.883844,XXXXXXXX08,,,41-W-E,,,,,,,,,,,,,,,
311,XXXXXXXX08_42-N,32.305602,-108.883897,XXXXXXXX08,,,41-W-E-N,,,,,,,,,,,,,,,
312,XXXXXXXX08_42-S,32.305512,-108.883897,XXXXXXXX08,,,42-S,,,,,,,,,,,,,,,
313,XXXXXXXX08_42-W,32.305557,-108.883950,XXXXXXXX08,,,42-W,,,,,,,,,,,,,,,
314,XXXXXXXX08_43,32.306276,-108.883894,XXXXXXXX08,,,43,,,,,,,,,,,,,,,
315,XXXXXXXX08_43-E,32.306276,-108.883841,XXXXXXXX08,,,42-W-E,,,,,,,,,,,,,,,
316,XXXXXXXX08_43-N,32.306321,-108.883894,XXXXXXXX08,,,42-W-E-N,,,,,,,,,,,,,,,
317,XXXXXXXX08_43-S,32.306231,-108.883894,XXXXXXXX08,,,43-S,,,,,,,,,,,,,,,
318,XXXXXXXX08_43-W,32.306276,-108.883948,XXXXXXXX08,,,43-W,,,,,,,,,,,,,,,
319,XXXXXXXX08_44,32.306932,-108.883900,XXXXXXXX08,,,44,,,,,,,,,,,,,,,
320,XXXXXXXX08_44-E,32.306932,-108.883847,XXXXXXXX08,,,43-W-E,,,,,,,,,,,,,,,
321,XXXXXXXX08_44-N,32.306977,-108.883900,XXXXXXXX08,,,43-W-E-N,,,,,,,,,,,,,,,
322,XXXXXXXX08_44-S,32.306887,-108.883900,XXXXXXXX08,,,44-S,,,,,,,,,,,,,,,
323,XXXXXXXX08_44-W,32.306932,-108.883953,XXXXXXXX08,,,44-W,,,,,,,,,,,,,,,
324,XXXXXXXX08_45,32.307597,-108.884004,XXXXXXXX08,,,45,,,,,,,,,,,,,,,
325,XXXXXXXX08_45-E,32.307597,-108.883951,XXXXXXXX08,,,44-W-E,,,,,,,,,,,,,,,
326,XXXXXXXX08_45-N,32.307642,-108.884004,XXXXXXXX08,,,44-W-E-N,,,,,,,,,,,,,,,
327,XXXXXXXX08_45-S,32.307552,-108.884004,XXXXXXXX08,,,45-S,,,,,,,,,,,,,,,
328,XXXXXXXX08_45-W,32.307597,-108.884058,XXXXXXXX08,,,45-W,,,,,,,,,,,,,,,
329,XXXXXXXX09-_46,32.308289,-108.884055,XXXXXXXX09 ,,,46,,,,,,,,,,,,,,,
330,XXXXXXXX09-_46-E,32.308289,-108.884002,XXXXXXXX09 ,,,45-W-E,,,,,,,,,,,,,,,
331,XXXXXXXX09-_46-N,32.308334,-108.884055,XXXXXXXX09 ,,,45-W-E-N,,,,,,,,,,,,,,,
332,XXXXXXXX09-_46-S,32.308244,-108.884055,XXXXXXXX09 ,,,46-S,,,,,,,,,,,,,,,
333,XXXXXXXX09-_46-W,32.308289,-108.884109,XXXXXXXX09 ,,,46-W,,,,,,,,,,,,,,,
334,XXXXXXXX09-_47,32.308960,-108.884092,XXXXXXXX09 ,,,47,,,,,,,,,,,,,,,
335,XXXXXXXX09-_47-E,32.308960,-108.884039,XXXXXXXX09 ,,,46-W-E,,,,,,,,,,,,,,,
336,XXXXXXXX09-_47-N,32.309005,-108.884092,XXXXXXXX09 ,,,46-W-E-N,,,,,,,,,,,,,,,
337,XXXXXXXX09-_47-S,32.308915,-108.884092,XXXXXXXX09 ,,,47-S,,,,,,,,,,,,,,,
338,XXXXXXXX09-_47-W,32.308960,-108.884145,XXXXXXXX09 ,,,47-W,,,,,,,,,,,,,,,
339,XXXXXXXX09-_48,32.309641,-108.884099,XXXXXXXX09 ,,,48,,,,,,,,,,,,,,,
340,XXXXXXXX09-_48-E,32.309641,-108.884046,XXXXXXXX09 ,,,47-W-E,,,,,,,,,,,,,,,
341,XXXXXXXX09-_48-N,32.309686,-108.884099,XXXXXXXX09 ,,,47-W-E-N,,,,,,,,,,,,,,,
342,XXXXXXXX09-_48-S,32.309596,-108.884099,XXXXXXXX09 ,,,48-S,,,,,,,,,,,,,,,
343,XXXXXXXX09-_48-W,32.309641,-108.884152,XXXXXXXX09 ,,,48-W,,,,,,,,,,,,,,,
344,XXXXXXXX09-_49,32.310298,-108.884137,XXXXXXXX09 ,,,49,,,,,,,,,,,,,,,
345,XXXXXXXX09-_49-E,32.310298,-108.884084,XXXXXXXX09 ,,,48-W-E,,,,,,,,,,,,,,,
346,XXXXXXXX09-_49-N,32.310342,-108.884137,XXXXXXXX09 ,,,48-W-E-N,,,,,,,,,,,,,,,
347,XXXXXXXX09-_49-S,32.310253,-108.884137,XXXXXXXX09 ,,,49-S,,,,,,,,,,,,,,,
348,XXXXXXXX09-_49-W,32.310298,-108.884190,XXXXXXXX09 ,,,49-W,,,,,,,,,,,,,,,
349,XXXXXXXX09-_50,32.310997,-108.884074,XXXXXXXX09 ,,,50,,,,,,,,,,,,,,,
350,XXXXXXXX09-_50-E,32.310997,-108.884021,XXXXXXXX09 ,,,49-W-E,,,,,,,,,,,,,,,
351,XXXXXXXX09-_50-N,32.311041,-108.884074,XXXXXXXX09 ,,,49-W-E-N,,,,,,,,,,,,,,,
352,XXXXXXXX09-_50-S,32.310952,-108.884074,XXXXXXXX09 ,,,50-S,,,,,,,,,,,,,,,
353,XXXXXXXX09-_50-W,32.310997,-108.884127,XXXXXXXX09 ,,,50-W,,,,,,,,,,,,,,,
354,XXXXXXXX09-_51,32.311646,-108.884147,XXXXXXXX09 ,,,51,,,,,,,,,,,,,,,
355,XXXXXXXX09-_51-E,32.311646,-108.884093,XXXXXXXX09 ,,,50-W-E,,,,,,,,,,,,,,,
356,XXXXXXXX09-_51-N,32.311691,-108.884147,XXXXXXXX09 ,,,50-W-E-N,,,,,,,,,,,,,,,
357,XXXXXXXX09-_51-S,32.311601,-108.884147,XXXXXXXX09 ,,,51-S,,,,,,,,,,,,,,,
358,XXXXXXXX09-_51-W,32.311646,-108.884200,XXXXXXXX09 ,,,51-W,,,,,,,,,,,,,,,
359,XXXXXXXX09-_52,32.312308,-108.884232,XXXXXXXX09 ,,,52,,,,,,,,,,,,,,,
360,XXXXXXXX09-_52-E,32.312308,-108.884179,XXXXXXXX09 ,,,51-W-E,,,,,,,,,,,,,,,
361,XXXXXXXX09-_52-N,32.312353,-108.884232,XXXXXXXX09 ,,,51-W-E-N,,,,,,,,,,,,,,,
362,XXXXXXXX09-_52-S,32.312263,-108.884232,XXXXXXXX09 ,,,52-S,,,,,,,,,,,,,,,
363,XXXXXXXX09-_52-W,32.312308,-108.884285,XXXXXXXX09 ,,,52-W,,,,,,,,,,,,,,,
364,XXXXXXXX09-_53,32.312928,-108.884232,XXXXXXXX09 ,,,53,,,,,,,,,,,,,,,
365,XXXXXXXX09-_53-E,32.312928,-108.884179,XXXXXXXX09 ,,,52-W-E,,,,,,,,,,,,,,,
366,XXXXXXXX09-_53-N,32.312973,-108.884232,XXXXXXXX09 ,,,52-W-E-N,,,,,,,,,,,,,,,
367,XXXXXXXX09-_53-S,32.312883,-108.884232,XXXXXXXX09 ,,,53-S,,,,,,,,,,,,,,,
368,XXXXXXXX09-_53-W,32.312928,-108.884286,XXXXXXXX09 ,,,53-W,,,,,,,,,,,,,,,
369,XXXXXXXX09-_54,32.313575,-108.884290,XXXXXXXX09 ,,,54,,,,,,,,,,,,,,,
370,XXXXXXXX09-_54-E,32.313575,-108.884237,XXXXXXXX09 ,,,53-W-E,,,,,,,,,,,,,,,
371,XXXXXXXX09-_54-N,32.313620,-108.884290,XXXXXXXX09 ,,,53-W-E-N,,,,,,,,,,,,,,,
372,XXXXXXXX09-_54-S,32.313530,-108.884290,XXXXXXXX09 ,,,54-S,,,,,,,,,,,,,,,
373,XXXXXXXX09-_54-W,32.313575,-108.884343,XXXXXXXX09 ,,,54-W,,,,,,,,,,,,,,,
374,XXXXXXXX10_1A,32.254178,-108.854548,XXXXXXXX10,,,1A,,,,,,,,,,,,,,,
375,XXXXXXXX10_1B,32.254178,-108.854548,XXXXXXXX10,,,1B,,,,,,,,,,,,,,,
376,XXXXXXXX10_2A,32.254072,-108.868057,XXXXXXXX10,,,2A,,,,,,,,,,,,,,,
377,XXXXXXXX10_2B,32.254072,-108.868057,XXXXXXXX10,,,2B,,,,,,,,,,,,,,,
378,XXXXXXXX10_3A,32.267059,-108.878263,XXXXXXXX10,,,3A,,,,,,,,,,,,,,,
379,XXXXXXXX10_3B,32.266650,-108.878450,XXXXXXXX10,,,3B,,,,,,,,,,,,,,,
380,XXXXXXXX10_3C,32.266650,-108.878450,XXXXXXXX10,,,3C,,,,,,,,,,,,,,,
381,XXXXXXXX10_3D,32.266650,-108.878450,XXXXXXXX10,,,3D,,,,,,,,,,,,,,,
382,XXXXXXXX11_4A,32.391282,-108.943534,XXXXXXXX11,,,4A,,,,,,,,,,,,,,,
383,XXXXXXXX11_4B,32.391282,-108.943534,XXXXXXXX11,,,4B,,,,,,,,,,,,,,,
384,XXXXXXXX11_4C,32.391282,-108.943534,XXXXXXXX11,,,4C,,,,,,,,,,,,,,,
385,XXXXXXXX11_5A,32.376331,-108.896092,XXXXXXXX11,,,5A,,,,,,,Lunettes,,,,,,,,
386,XXXXXXXX11_5B,32.376331,-108.896092,XXXXXXXX11,,,5B,,,,,,,,,,,,,,,
